Incident ID,Incident Date,State,City Or County,Address,# Killed,# Injured,tags,geo,source
725165,"May 25, 2016",Illinois,Champaign,1100 block of West Bradley Avenue,0,0,"['Shots Fired - No Injuries', 'Armed robbery with injury/death and/or evidence of DGU found']","['40.1272', ' -88.2628']",http://www.news-gazette.com/news/local/2016-12-13/18-year-old-gets-8-years-firing-gun-car.html
563547,"May 19, 2016",Illinois,Champaign,700 block of Hollycrest Drive,0,0,"['Non-Shooting Incident', 'Drug involvement', 'ATF/LE Confiscation/Raid/Arrest', 'Criminal act with stolen gun', 'Possession of gun by felon or prohibited person', 'Stolen/Illegally owned gun{s} recovered during arrest/warrant']","['40.1092', ' -88.28']",http://www.news-gazette.com/news/local/2017-01-31/champaign-felon-who-had-guns-gets-10-years.html
561043,"May 17, 2016",Illinois,Champaign,West Beardsley Avenue,0,0,"['Non-Shooting Incident', 'Officer Involved Incident', 'Officer Involved Incident - Weapon involved but no shots fired', 'Drug involvement', 'LOCKDOWN/ALERT ONLY: No GV Incident Occurred Onsite', 'Possession of gun by felon or prohibited person']","['40.1264', ' -88.2485']",/incident/529427
559133,"May 15, 2016",Illinois,Champaign,1000 block of North James Street,1,1,"['Shot - Wounded/Injured', 'Shot - Dead (murder, accidental, suicide)']","['40.1258', ' -88.2652']",http://www.wandtv.com/story/34166445/champaign-man-wanted-on-multiple-weapons-charges
547115,"April 22, 2016",Illinois,Urbana,1300 block of South Race Street,0,0,"['Officer Involved Incident', 'Officer Involved Incident - Weapon involved but no shots fired', 'Defensive Use', 'Defensive Use - Victim stops crime', 'Under the influence of alcohol or drugs (only applies to the subject/suspect/perpetrator )']","['40.1019', ' -88.2096']",http://www.news-gazette.com/news/local/2016-04-23/drunk-trying-get-home-greeted-armed-owner.html
540126,"April 13, 2016",Illinois,Champaign,1600 block of Hedge Road,0,1,['Shot - Wounded/Injured'],"['40.1326', ' -88.2728']",/incident/321527
533510,"March 31, 2016",Illinois,Urbana,200 block of South Urbana Avenue,0,0,"['Shots Fired - No Injuries', 'Brandishing/flourishing/open carry/lost/found']","['40.1117', ' -88.2037']",http://www.news-gazette.com/news/local/2016-04-01/shot-fired-through-duplex-wall-brings-gun-charges.html
532795,"March 30, 2016",Illinois,Champaign,Cynthia Drive and Bloomington,0,1,"['Shot - Wounded/Injured', 'Possession (gun(s) found during commission of other crimes)']","['40.1391', ' -88.2749']",/incident/529427
532587,"March 28, 2016",Illinois,Urbana,2500 block of Prairie Green Drive,0,0,"['Non-Shooting Incident', 'Home Invasion', 'Home Invasion - No death or injury', 'Possession (gun(s) found during commission of other crimes)']","['40.1052', ' -88.1744']",http://www.news-gazette.com/news/local/2016-03-29/home-invasion-under-investigation.html
529427,"March 26, 2016",Illinois,Champaign,2000 block of Cynthia Drive,0,1,['Shot - Wounded/Injured'],"['40.1369', ' -88.2746']",/incident/532795
